관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00146,1-94호공원,어린이공원,,제주특별자치도 제주시 노형동 2585-3,33.4842999607,126.4685591034,2257.3,운동기구11,조합놀이대1,파고라2+평의자1+등의자5+음수대1,,,2001-11-29,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00147,1-95호공원,어린이공원,,제주특별자치도 제주시 노형동 2583-3,33.4880312502,126.4713315295,1799.8,운동기구5,조합놀이대1,파고라2+평의자4+등의자6+음수대1,,,2001-11-29,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00148,1-96호공원,어린이공원,,제주특별자치도 제주시 노형동 2582-5,33.4879600776,126.4743820695,1951.9,,조합놀이대1+그네1+흔들놀이2,파고라2+평의자8+등의자6,,,2001-11-29,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00191,1-1호소공원,소공원,,제주특별자치도 제주시 화북1동 1245-2,33.5201129630,126.5707302928,817,,,,,,2018-10-11,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00192,금능공원,근린공원,,제주특별자치도 제주시 한림읍 금능리 산20,33.3769717556,126.2331251901,66579,,,,,,2020-06-24,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00193,월령공원,근린공원,,제주특별자치도 제주시 한림읍 월령리 산9-3,33.3720180572,126.2259711302,220940,,,,,,2020-06-24,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00194,미리내공원,체육공원,,제주특별자치도 제주시 노형동 1889일원,33.4583671492,126.4790916613,78000,,,,,,2020-06-24,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00195,구좌문화공원,문화공원,제주특별자치도 제주시 구좌읍 김녕로 209,제주특별자치도 제주시 구좌읍 김녕리 497-1,33.5551854597,126.7627460061,70632,,,,,,2020-06-24,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00196,소공원,소공원,제주특별자치도 제주시 애월읍 하귀1길 9-1,제주특별자치도 제주시 애월읍 하귀1리 260-1일원,33.4881641618,126.4194412550,415,,,,,,2021-11-17,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00197,공원(근린공원),근린공원,,제주특별자치도 제주시 월평동 691 일원,33.4537865411,126.5805064278,34702,,,,,,2022-12-28,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00198,공원(어린이공원),어린이공원,,제주특별자치도 제주시 월평동 651-34 일원,33.4550534674,126.5773093919,1023,,,,,,2022-12-28,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00199,5-4호,어린이공원,,제주특별자치도 제주시 조천읍 조천리 2525-1,33.5372115423,126.6368255356,1957,,,,,,2024-12-26,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00200,가세기공원,문화공원,,제주특별자치도 제주시 오라삼동 2850-2,33.4897089675,126.5039368304,18896,,,,,,2024-12-26,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00201,마이시크릿 포레스트,문화공원,제주특별자치도 제주시 구좌읍 상도동길 124-51,제주특별자치도 제주시 구좌읍 상도리 산48,33.5035128861,126.8685715155,196416,,,,,,2024-12-26,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
50110-00202,월대천수변공원,수변공원,,제주특별자치도 제주시 내도동 898 월대천 주변,33.4887733128,126.4482715835,208480,,,,,,2024-12-26,제주특별자치도 제주시청 공원녹지과,064-728-3601,2025-04-14
